source_id,title,authors,year,venue,bibtex_key,doi,arxiv_id,url,source_type,pilot_group,intended_channel_hints,intended_bottleneck_hints,priority,notes
atiyah_hirzebruch_1962_torsion,Analytic cycles on complex manifolds,Michael Atiyah; Friedrich Hirzebruch,1962,,AtiyahHirzebruch1962,,,,paper,classical_obstruction,torsion_cohomology_operation,none,1,Classical torsion/cohomology-operation anchor.
kollar_1992_divisibility,Trento examples for the integral Hodge conjecture,János Kollár,1992,,Kollar1992,,,,paper,classical_obstruction,divisibility,none,1,Classical non-torsion divisibility anchor.
bloch_ogus_unramified,Gersten's conjecture and the homology of schemes,Spencer Bloch; Arthur Ogus,1974,,BlochOgus1974,,,,paper,unramified_brauer,brauer_unramified,residue_vanishing,2,Background source for unramified/cohomological residue formalism.
colliot_theleme_voisin_2012_unramified,Cohomologie non ramifiée et conjecture de Hodge entière,Jean-Louis Colliot-Thélène; Claire Voisin,2012,,ColliotTheleneVoisin2012,,,,paper,unramified_brauer,brauer_unramified,verify_theorem_statement,1,Brauer/unramified mechanism anchor.
diaz_2023_bockstein,Diaz finite-coefficient Bockstein construction,Diaz,2023,,Diaz2023,,,,paper,enriques_coble_bockstein,"cup_product_bockstein, brauer_unramified",survival_proved_in_source,1,Finite-coefficient Bockstein anchor.
benoist_ottem_2020_enriques,Benoist--Ottem Enriques-product benchmark,Olivier Benoist; John Christian Ottem,2020,,BenoistOttem2020,,,,paper,enriques_coble_bockstein,"global_smooth_torsion, enriques_product, specialization_target",none,1,Theorem-backed smooth torsion benchmark anchor.
rahman_diaz_kummer_2026,Rahman Diaz--Kummer obstruction-channel notes,Abdul Rahman,2026,,RahmanDiazKummer2026,,,,preprint,enriques_coble_bockstein,cup_product_bockstein,unramified_nonvanishing,1,Internal/paper-adjacent formal candidate source.
rahman_torsion_trajectories_2026,Rahman torsion trajectories and local packages,Abdul Rahman,2026,,RahmanTorsionTrajectories2026,,,,preprint,local_singularity_perverse,"local_discriminant, shadow_selection, torsion_trajectory",global_transport_survival,1,Internal/paper-adjacent local package source.
rahman_integral_perverse_obstructions_2026,Rahman integral perverse obstruction notes,Abdul Rahman,2026,,RahmanIntegralPerverseObstructions2026,,,,preprint,local_singularity_perverse,"local_discriminant, motivic_realization","global_transport_survival, verify_theorem_statement",1,Internal/paper-adjacent perverse obstruction source.
aljovin_movasati_villaflor_2019_fermat,Integral Hodge conjecture for Fermat varieties,Enzo Aljovin; Hossein Movasati; Roberto Villaflor Loyola,2019,,AljovinMovasatiVillaflor2019,,,,paper,computational_lattice,"lattice_saturation, computed_lattice_benchmark",lattice_identification,1,Computational lattice benchmark.
